"drawn_number","wed","sat"
1,276,272
2,278,284
3,312,299
4,288,293
5,285,307
6,254,299
7,289,314
8,273,311
9,291,321
10,305,291
11,255,320
12,279,302
13,266,307
14,253,283
15,276,272
16,274,297
17,279,292
18,260,310
19,300,282
20,296,306
21,278,344
22,291,296
23,286,326
24,287,292
25,289,293
26,267,319
27,273,346
28,264,293
29,276,289
30,283,296
31,298,342
32,280,300
33,275,306
34,319,321
35,264,311
36,284,320
37,285,303
38,293,319
39,275,300
40,303,318
41,280,333
42,300,294
43,298,320
44,276,314
45,286,360
46,297,306
47,305,313
48,286,303
49,273,325
